,event_name,index,run,epevent,position600,ring_type,position,onset,onset0
0,iti,,,,,,,12.105541835000622,0.0
1,iti,,,,,,,13.605541835000622,1.5
2,iti,,,,,,,15.105541835000622,3.0
0,ring,0.0,1.0,neutral426,426.0,neu,0.065,16.605541835000622,4.5
1,prep,1.0,1.0,neutral426,426.0,neu,0.065,18.105541835000622,6.0
2,dot,2.0,1.0,neutral426,426.0,neu,0.065,19.605541835000622,7.5
3,iti,3.0,1.0,fix,,,,21.105541835000622,9.0
4,ring,4.0,1.0,reward007,7.0,rew,-0.9825,22.605541835000622,10.5
5,prep,5.0,1.0,reward007,7.0,rew,-0.9825,24.105541835000622,12.0
6,dot,6.0,1.0,reward007,7.0,rew,-0.9825,25.605541835000622,13.5
7,iti,7.0,1.0,fix,,,,27.105541835000622,15.0
8,ring,8.0,1.0,neutralCatch1,,neu,,28.605541835000622,16.5
9,prep,9.0,1.0,neutralCatch1,,neu,,30.105541835000622,18.0
10,iti,10.0,1.0,fix,,,,31.605541835000622,19.5
11,ring,11.0,1.0,neutral633,633.0,neu,0.5825,33.10554183500062,21.0
12,prep,12.0,1.0,neutral633,633.0,neu,0.5825,34.60554183500062,22.5
13,dot,13.0,1.0,neutral633,633.0,neu,0.5825,36.10554183500062,24.0
14,iti,14.0,1.0,fix,,,,37.60554183500062,25.5
15,iti,15.0,1.0,fix,,,,39.10554183500062,27.0
16,iti,16.0,1.0,fix,,,,40.60554183500062,28.5
17,ring,17.0,1.0,neutralCatch2,,neu,,42.10554183500062,30.0
18,iti,18.0,1.0,fix,,,,43.60554183500062,31.5
19,ring,19.0,1.0,reward633,633.0,rew,0.5825,45.10554183500062,33.0
20,prep,20.0,1.0,reward633,633.0,rew,0.5825,46.60554183500062,34.5
21,dot,21.0,1.0,reward633,633.0,rew,0.5825,48.10554183500062,36.0
22,iti,22.0,1.0,fix,,,,49.60554183500062,37.5
23,iti,23.0,1.0,fix,,,,51.10554183500062,39.0
24,iti,24.0,1.0,fix,,,,52.60554183500062,40.5
25,iti,25.0,1.0,fix,,,,54.10554183500062,42.0
26,iti,26.0,1.0,fix,,,,55.60554183500062,43.5
27,iti,27.0,1.0,fix,,,,57.10554183500062,45.0
28,ring,28.0,1.0,rewardCatch2,,rew,,58.60554183500062,46.5
29,iti,29.0,1.0,fix,,,,60.10554183500062,48.0
30,ring,30.0,1.0,reward426,426.0,rew,0.065,61.60554183500062,49.5
31,prep,31.0,1.0,reward426,426.0,rew,0.065,63.10554183500062,51.0
32,dot,32.0,1.0,reward426,426.0,rew,0.065,64.60554183500062,52.5
33,iti,33.0,1.0,fix,,,,66.10554183500062,54.0
34,ring,34.0,1.0,neutral108,108.0,neu,-0.73,67.60554183500062,55.5
35,prep,35.0,1.0,neutral108,108.0,neu,-0.73,69.10554183500062,57.0
36,dot,36.0,1.0,neutral108,108.0,neu,-0.73,70.60554183500062,58.5
37,iti,37.0,1.0,fix,,,,72.10554183500062,60.0
38,iti,38.0,1.0,fix,,,,73.60554183500062,61.5
39,iti,39.0,1.0,fix,,,,75.10554183500062,63.0
40,iti,40.0,1.0,fix,,,,76.60554183500062,64.5
41,ring,41.0,1.0,reward633,633.0,rew,0.5825,78.10554183500062,66.0
42,prep,42.0,1.0,reward633,633.0,rew,0.5825,79.60554183500062,67.5
43,dot,43.0,1.0,reward633,633.0,rew,0.5825,81.10554183500062,69.0
44,iti,44.0,1.0,fix,,,,82.60554183500062,70.5
45,iti,45.0,1.0,fix,,,,84.10554183500062,72.0
46,iti,46.0,1.0,fix,,,,85.60554183500062,73.5
47,iti,47.0,1.0,fix,,,,87.10554183500062,75.0
48,ring,48.0,1.0,neutral633,633.0,neu,0.5825,88.60554183500062,76.5
49,prep,49.0,1.0,neutral633,633.0,neu,0.5825,90.10554183500062,78.0
50,dot,50.0,1.0,neutral633,633.0,neu,0.5825,91.60554183500062,79.5
51,iti,51.0,1.0,fix,,,,93.10554183500062,81.0
52,ring,52.0,1.0,neutral007,7.0,neu,-0.9825,94.60554183500062,82.5
53,prep,53.0,1.0,neutral007,7.0,neu,-0.9825,96.10554183500062,84.0
54,dot,54.0,1.0,neutral007,7.0,neu,-0.9825,97.60554183500062,85.5
55,iti,55.0,1.0,fix,,,,99.10554183500062,87.0
56,ring,56.0,1.0,reward532,532.0,rew,0.33,100.60554183500062,88.5
57,prep,57.0,1.0,reward532,532.0,rew,0.33,102.10554183500062,90.0
58,dot,58.0,1.0,reward532,532.0,rew,0.33,103.60554183500062,91.5
59,iti,59.0,1.0,fix,,,,105.10554183500062,93.0
60,ring,60.0,1.0,reward007,7.0,rew,-0.9825,106.60554183500062,94.5
61,prep,61.0,1.0,reward007,7.0,rew,-0.9825,108.10554183500062,96.0
62,dot,62.0,1.0,reward007,7.0,rew,-0.9825,109.60554183500062,97.5
63,iti,63.0,1.0,fix,,,,111.10554183500062,99.0
64,ring,64.0,1.0,reward532,532.0,rew,0.33,112.60554183500062,100.5
65,prep,65.0,1.0,reward532,532.0,rew,0.33,114.10554183500062,102.0
66,dot,66.0,1.0,reward532,532.0,rew,0.33,115.60554183500062,103.5
67,iti,67.0,1.0,fix,,,,117.10554183500062,105.0
68,iti,68.0,1.0,fix,,,,118.60554183500062,106.5
69,iti,69.0,1.0,fix,,,,120.10554183500062,108.0
70,iti,70.0,1.0,fix,,,,121.60554183500062,109.5
71,iti,71.0,1.0,fix,,,,123.10554183500062,111.0
72,iti,72.0,1.0,fix,,,,124.60554183500062,112.5
73,iti,73.0,1.0,fix,,,,126.10554183500062,114.0
74,iti,74.0,1.0,fix,,,,127.60554183500062,115.5
75,iti,75.0,1.0,fix,,,,129.10554183500062,117.0
76,ring,76.0,1.0,neutral214,214.0,neu,-0.465,130.60554183500062,118.5
77,prep,77.0,1.0,neutral214,214.0,neu,-0.465,132.10554183500062,120.0
78,dot,78.0,1.0,neutral214,214.0,neu,-0.465,133.60554183500062,121.5
79,iti,79.0,1.0,fix,,,,135.10554183500062,123.0
80,iti,80.0,1.0,fix,,,,136.60554183500062,124.5
81,iti,81.0,1.0,fix,,,,138.10554183500062,126.0
82,ring,82.0,1.0,reward108,108.0,rew,-0.73,139.60554183500062,127.5
83,prep,83.0,1.0,reward108,108.0,rew,-0.73,141.10554183500062,129.0
84,dot,84.0,1.0,reward108,108.0,rew,-0.73,142.60554183500062,130.5
85,iti,85.0,1.0,fix,,,,144.10554183500062,132.0
86,ring,86.0,1.0,neutral007,7.0,neu,-0.9825,145.60554183500062,133.5
87,prep,87.0,1.0,neutral007,7.0,neu,-0.9825,147.10554183500062,135.0
88,dot,88.0,1.0,neutral007,7.0,neu,-0.9825,148.60554183500062,136.5
89,iti,89.0,1.0,fix,,,,150.10554183500062,138.0
90,ring,90.0,1.0,neutralCatch2,,neu,,151.60554183500062,139.5
91,iti,91.0,1.0,fix,,,,153.10554183500062,141.0
92,ring,92.0,1.0,neutral426,426.0,neu,0.065,154.60554183500062,142.5
93,prep,93.0,1.0,neutral426,426.0,neu,0.065,156.10554183500062,144.0
94,dot,94.0,1.0,neutral426,426.0,neu,0.065,157.60554183500062,145.5
95,iti,95.0,1.0,fix,,,,159.10554183500062,147.0
96,iti,96.0,1.0,fix,,,,160.60554183500062,148.5
97,iti,97.0,1.0,fix,,,,162.10554183500062,150.0
98,iti,98.0,1.0,fix,,,,163.60554183500062,151.5
99,iti,99.0,1.0,fix,,,,165.10554183500062,153.0
100,iti,100.0,1.0,fix,,,,166.60554183500062,154.5
101,ring,101.0,1.0,neutral214,214.0,neu,-0.465,168.10554183500062,156.0
102,prep,102.0,1.0,neutral214,214.0,neu,-0.465,169.60554183500062,157.5
103,dot,103.0,1.0,neutral214,214.0,neu,-0.465,171.10554183500062,159.0
104,iti,104.0,1.0,fix,,,,172.60554183500062,160.5
105,ring,105.0,1.0,rewardCatch2,,rew,,174.10554183500062,162.0
106,iti,106.0,1.0,fix,,,,175.60554183500062,163.5
107,ring,107.0,1.0,rewardCatch1,,rew,,177.10554183500062,165.0
108,prep,108.0,1.0,rewardCatch1,,rew,,178.60554183500062,166.5
109,iti,109.0,1.0,fix,,,,180.10554183500062,168.0
110,iti,110.0,1.0,fix,,,,181.60554183500062,169.5
111,iti,111.0,1.0,fix,,,,183.10554183500062,171.0
112,iti,112.0,1.0,fix,,,,184.60554183500062,172.5
113,ring,113.0,1.0,reward426,426.0,rew,0.065,186.10554183500062,174.0
114,prep,114.0,1.0,reward426,426.0,rew,0.065,187.60554183500062,175.5
115,dot,115.0,1.0,reward426,426.0,rew,0.065,189.10554183500062,177.0
116,iti,116.0,1.0,fix,,,,190.60554183500062,178.5
117,ring,117.0,1.0,neutral633,633.0,neu,0.5825,192.10554183500062,180.0
118,prep,118.0,1.0,neutral633,633.0,neu,0.5825,193.60554183500062,181.5
119,dot,119.0,1.0,neutral633,633.0,neu,0.5825,195.10554183500062,183.0
120,iti,120.0,1.0,fix,,,,196.60554183500062,184.5
121,ring,121.0,1.0,reward108,108.0,rew,-0.73,198.10554183500062,186.0
122,prep,122.0,1.0,reward108,108.0,rew,-0.73,199.60554183500062,187.5
123,dot,123.0,1.0,reward108,108.0,rew,-0.73,201.10554183500062,189.0
124,iti,124.0,1.0,fix,,,,202.60554183500062,190.5
125,ring,125.0,1.0,neutralCatch2,,neu,,204.10554183500062,192.0
126,iti,126.0,1.0,fix,,,,205.60554183500062,193.5
127,iti,127.0,1.0,fix,,,,207.10554183500062,195.0
128,iti,128.0,1.0,fix,,,,208.60554183500062,196.5
129,ring,129.0,1.0,neutral532,532.0,neu,0.33,210.10554183500062,198.0
130,prep,130.0,1.0,neutral532,532.0,neu,0.33,211.60554183500062,199.5
131,dot,131.0,1.0,neutral532,532.0,neu,0.33,213.10554183500062,201.0
132,iti,132.0,1.0,fix,,,,214.60554183500062,202.5
133,ring,133.0,1.0,neutral007,7.0,neu,-0.9825,216.10554183500062,204.0
134,prep,134.0,1.0,neutral007,7.0,neu,-0.9825,217.60554183500062,205.5
135,dot,135.0,1.0,neutral007,7.0,neu,-0.9825,219.10554183500062,207.0
136,iti,136.0,1.0,fix,,,,220.60554183500062,208.5
137,ring,137.0,1.0,neutral532,532.0,neu,0.33,222.10554183500062,210.0
138,prep,138.0,1.0,neutral532,532.0,neu,0.33,223.60554183500062,211.5
139,dot,139.0,1.0,neutral532,532.0,neu,0.33,225.10554183500062,213.0
140,iti,140.0,1.0,fix,,,,226.60554183500062,214.5
141,ring,141.0,1.0,reward007,7.0,rew,-0.9825,228.10554183500062,216.0
142,prep,142.0,1.0,reward007,7.0,rew,-0.9825,229.60554183500062,217.5
143,dot,143.0,1.0,reward007,7.0,rew,-0.9825,231.10554183500062,219.0
144,iti,144.0,1.0,fix,,,,232.60554183500062,220.5
145,iti,145.0,1.0,fix,,,,234.10554183500062,222.0
146,iti,146.0,1.0,fix,,,,235.60554183500062,223.5
147,iti,147.0,1.0,fix,,,,237.10554183500062,225.0
148,ring,148.0,1.0,reward633,633.0,rew,0.5825,238.60554183500062,226.5
149,prep,149.0,1.0,reward633,633.0,rew,0.5825,240.10554183500062,228.0
150,dot,150.0,1.0,reward633,633.0,rew,0.5825,241.60554183500062,229.5
151,iti,151.0,1.0,fix,,,,243.10554183500062,231.0
152,ring,152.0,1.0,reward214,214.0,rew,-0.465,244.60554183500062,232.5
153,prep,153.0,1.0,reward214,214.0,rew,-0.465,246.10554183500062,234.0
154,dot,154.0,1.0,reward214,214.0,rew,-0.465,247.60554183500062,235.5
155,iti,155.0,1.0,fix,,,,249.10554183500062,237.0
156,ring,156.0,1.0,rewardCatch1,,rew,,250.60554183500062,238.5
157,prep,157.0,1.0,rewardCatch1,,rew,,252.10554183500062,240.0
158,iti,158.0,1.0,fix,,,,253.60554183500062,241.5
159,ring,159.0,1.0,neutralCatch1,,neu,,255.10554183500062,243.0
160,prep,160.0,1.0,neutralCatch1,,neu,,256.6055418350006,244.5
161,iti,161.0,1.0,fix,,,,258.1055418350006,246.0
162,iti,162.0,1.0,fix,,,,259.6055418350006,247.5
163,iti,163.0,1.0,fix,,,,261.1055418350006,249.0
164,iti,164.0,1.0,fix,,,,262.6055418350006,250.5
165,iti,165.0,1.0,fix,,,,264.1055418350006,252.0
166,ring,166.0,1.0,reward214,214.0,rew,-0.465,265.6055418350006,253.5
167,prep,167.0,1.0,reward214,214.0,rew,-0.465,267.1055418350006,255.0
168,dot,168.0,1.0,reward214,214.0,rew,-0.465,268.6055418350006,256.5
169,iti,169.0,1.0,fix,,,,270.1055418350006,258.0
170,iti,170.0,1.0,fix,,,,271.6055418350006,259.5
171,iti,171.0,1.0,fix,,,,273.1055418350006,261.0
172,iti,172.0,1.0,fix,,,,274.6055418350006,262.5
173,ring,173.0,1.0,neutral108,108.0,neu,-0.73,276.1055418350006,264.0
174,prep,174.0,1.0,neutral108,108.0,neu,-0.73,277.6055418350006,265.5
175,dot,175.0,1.0,neutral108,108.0,neu,-0.73,279.1055418350006,267.0
176,iti,176.0,1.0,fix,,,,280.6055418350006,268.5
177,iti,177.0,1.0,fix,,,,282.1055418350006,270.0
178,iti,178.0,1.0,fix,,,,283.6055418350006,271.5
179,iti,179.0,1.0,fix,,,,285.1055418350006,273.0
180,iti,180.0,1.0,fix,,,,286.6055418350006,274.5
181,iti,181.0,1.0,fix,,,,288.1055418350006,276.0
182,iti,182.0,1.0,fix,,,,289.6055418350006,277.5
183,iti,183.0,1.0,fix,,,,291.1055418350006,279.0
184,ring,184.0,1.0,rewardCatch2,,rew,,292.6055418350006,280.5
185,iti,185.0,1.0,fix,,,,294.1055418350006,282.0
186,ring,186.0,1.0,neutralCatch1,,neu,,295.6055418350006,283.5
187,prep,187.0,1.0,neutralCatch1,,neu,,297.1055418350006,285.0
188,iti,188.0,1.0,fix,,,,298.6055418350006,286.5
189,ring,189.0,1.0,rewardCatch1,,rew,,300.1055418350006,288.0
190,prep,190.0,1.0,rewardCatch1,,rew,,301.6055418350006,289.5
191,iti,191.0,1.0,fix,,,,303.1055418350006,291.0
192,iti,192.0,1.0,fix,,,,304.6055418350006,292.5
193,iti,193.0,1.0,fix,,,,306.1055418350006,294.0
194,iti,194.0,1.0,fix,,,,307.6055418350006,295.5
195,iti,195.0,1.0,fix,,,,309.1055418350006,297.0
196,iti,196.0,1.0,fix,,,,310.6055418350006,298.5
197,iti,197.0,1.0,fix,,,,312.1055418350006,300.0
198,iti,198.0,1.0,fix,,,,313.6055418350006,301.5
199,iti,199.0,1.0,fix,,,,315.1055418350006,303.0
200,iti,200.0,1.0,fix,,,,316.6055418350006,304.5
201,iti,201.0,1.0,fix,,,,318.1055418350006,306.0
